method,seed,loss_start_time,loss_duration,loss_end_time,success,recovered,retained_recovery,rmse,steady_rmse,stable_ratio,capture_time,recovery_time,retained_settling_time,loss_window_peak_error,post_loss_peak_error,forward_overshoot,post_loss_forward_overshoot,command_smoothness,max_command_change,final_error,final_relative_speed,initial_uav_x,initial_uav_y,ugv_vx
PD+FF,1040,3.0,0.0,3.0,True,True,True,0.29430136815607477,0.03702843531484202,0.76,4.800000000000001,1.8000000000000007,1.8000000000000007,0.0,0.3432126045227051,0.0,0.0,6.050549018254969e-06,0.008748949505388737,0.0001421621855115518,6.683987157884985e-05,-0.7547146081924438,0.5635512471199036,0.4134989380836487
PD+FF,1041,3.0,0.0,3.0,True,True,True,0.2401630307198978,0.031131953457462964,0.7775,4.45,1.4500000000000002,1.4500000000000002,0.0,0.28857094049453735,0.0,0.0,3.854061560559785e-06,0.007169817108660936,0.00012586548109538853,5.8172099670628086e-05,-0.6478168964385986,-0.19675222039222717,0.46515655517578125
PD+FF,1042,3.0,0.0,3.0,True,True,True,0.4817689746075415,0.06264185084483485,0.7025,5.95,2.95,2.95,0.0,0.5806082487106323,0.0,0.0,1.1459576853667386e-05,0.013338420540094376,0.00023061392130330205,0.00010768110951175913,-1.463887333869934,-0.25558269023895264,0.3728010952472687
PD+FF,1043,3.0,0.0,3.0,True,True,True,0.5941879942691555,0.07644546823681421,0.68,6.4,3.4000000000000004,3.4000000000000004,0.0,0.7085438370704651,0.0,0.0,1.6782942111603916e-05,0.015799790620803833,0.00027608638629317284,0.00012926045747008175,-1.7490100860595703,-0.7958716750144958,0.31946444511413574
PD+FF,1044,3.0,0.0,3.0,True,True,True,0.6310648636748264,0.08005426287919631,0.675,6.5,3.5,3.5,0.0,0.742011547088623,0.0,0.0,2.0554389266180806e-05,0.017258545383810997,0.0002942763385362923,0.00013759471767116338,-1.981444239616394,0.7169352173805237,0.20961801707744598
PD+FF,1045,3.0,0.0,3.0,True,True,True,0.2683267128464415,0.03403334282099006,0.7675,4.65,1.6500000000000004,1.6500000000000004,0.0,0.3154463469982147,0.0,0.0,4.897060989605961e-06,0.007996262982487679,0.000123366029583849,5.847505235578865e-05,-0.7272861003875732,-0.39523494243621826,0.4158290922641754
PD+FF,1046,3.0,0.0,3.0,True,True,True,0.6510306012780208,0.0885667163365407,0.665,6.7,3.7,3.7,0.0,0.8207481503486633,0.0,0.0,1.268201413040515e-05,0.013842117041349411,0.0003236715856473893,0.00015148089732974768,-1.868130087852478,0.6265861392021179,0.39649125933647156
PD+FF,1047,3.0,0.0,3.0,True,True,True,0.36413203434462094,0.045816312393056335,0.735,5.300000000000001,2.3000000000000007,2.3000000000000007,0.0,0.42467036843299866,0.0,0.0,8.29235250421334e-06,0.010809860192239285,0.00017340652993880212,8.07183314464055e-05,-1.1699552536010742,-0.14992530643939972,0.29876548051834106
PD+FF,1048,3.0,0.0,3.0,True,True,True,0.3781713977154175,0.048478165915555496,0.73,5.4,2.4000000000000004,2.4000000000000004,0.0,0.4493231177330017,0.0,0.0,9.578472599969245e-06,0.010756651870906353,0.00016570357547607273,7.830094546079636e-05,-0.9076822996139526,-0.7630760073661804,0.4824531674385071
PD+FF,1049,3.0,0.0,3.0,True,True,True,0.5516440731617415,0.07478052172464522,0.6825,6.3500000000000005,3.3500000000000005,3.3500000000000005,0.0,0.6930474638938904,0.0,0.0,9.226735528500285e-06,0.012505079619586468,0.0002739012415986508,0.00012818216055165976,-1.6127384901046753,0.09402617067098618,0.43331217765808105
PD+FF,1050,3.0,0.0,3.0,True,True,True,0.4567083709151338,0.06132746486646338,0.705,5.9,2.9000000000000004,2.9000000000000004,0.0,0.5683982372283936,0.0,0.0,8.130743481160607e-06,0.011183705180883408,0.00022570573491975665,0.00010558211943134665,-1.2507070302963257,-0.40418457984924316,0.49881017208099365
PD+FF,1051,3.0,0.0,3.0,True,True,True,0.2959114506693642,0.03602906875401683,0.7625,4.75,1.75,1.75,0.0,0.33395513892173767,0.0,0.0,6.45936643195455e-06,0.00931263342499733,0.00013327223132364452,6.231918086996302e-05,-0.8433747291564941,-0.6024307608604431,0.2584548592567444
PD+FF,1052,3.0,0.0,3.0,True,True,True,0.5016737617977888,0.06477614581838223,0.6975,6.050000000000001,3.0500000000000007,3.0500000000000007,0.0,0.6003992557525635,0.0,0.0,1.2792404959327541e-05,0.013857802376151085,0.00023368510301224887,0.00010956959158647805,-1.577463150024414,-0.03658809885382652,0.32490968704223633
PD+FF,1053,3.0,0.0,3.0,True,True,True,0.27604522983904123,0.035383180656643545,0.765,4.7,1.7000000000000002,1.7000000000000002,0.0,0.3279598355293274,0.0,0.0,5.115535714139696e-06,0.008126680739223957,0.00012128568050684407,5.699795292457566e-05,-0.7320424914360046,-0.38764455914497375,0.44851720333099365
PD+FF,1054,3.0,0.0,3.0,True,True,True,0.6611873594487506,0.0881199775140268,0.665,6.7,3.7,3.7,0.0,0.8166781067848206,0.0,0.0,1.4456090866588056e-05,0.014762049540877342,0.0003149077820125967,0.00014781007484998554,-1.9604523181915283,0.6108824014663696,0.3443475067615509
