method,seed,position_noise_std,velocity_noise_std,initial_uav_x,initial_uav_y,ugv_vx,success,rmse,steady_rmse,final_error,final_relative_speed,stable_ratio,capture_time,settling_time,forward_overshoot,meaningful_ahead_ratio,command_smoothness,mean_command_change,max_command_change
PD+FF,1072,0.0,0.0,-1.22187077999115,0.3675197660923004,0.4661308228969574,True,0.4337089955806732,0.057268183678388596,0.00021931495575699955,0.00010147508874069899,0.7125,5.75,5.75,0.0,0.0,8.856300155457575e-06,0.0015130192041397095,0.011734899133443832
PD+FF,1073,0.0,0.0,-1.5133368968963623,0.8512749075889587,0.3800120949745178,True,0.5426552295684814,0.06990370899438858,0.00025470092077739537,0.00011921399709535763,0.69,6.2,6.2,0.0,0.0,1.5028509551484603e-05,0.0020089815370738506,0.01445464976131916
PD+FF,1074,0.0,0.0,-0.5001789927482605,-0.2884053587913513,0.4962819218635559,True,0.2087370604276657,0.027106409892439842,8.266921940958127e-05,3.983652641181834e-05,0.7925,4.15,4.15,0.0,0.0,3.1749229947308777e-06,0.0008895934442989528,0.006803547032177448
PD+FF,1075,0.0,0.0,-0.8189709782600403,0.9466501474380493,0.23914383351802826,True,0.3452018201351166,0.04156418517231941,0.00015272514428943396,7.1341433795169e-05,0.7475,5.050000000000001,5.050000000000001,0.0,0.0,9.090457751881331e-06,0.0014684268971905112,0.011009875684976578
PD+FF,1076,0.0,0.0,-1.445397138595581,-0.562984049320221,0.45283621549606323,True,0.517841100692749,0.06897054612636566,0.00026212248485535383,0.00012157461605966091,0.6925,6.15,6.15,0.0,0.0,1.0391700016043615e-05,0.001700479188002646,0.012574740685522556
PD+FF,1077,0.0,0.0,-0.6151338219642639,-0.8893533945083618,0.2694230377674103,True,0.29659128189086914,0.0356009341776371,0.0001307942293351516,6.108212255639955e-05,0.7625,4.75,4.75,0.0,0.0,6.922120974195423e-06,0.001275080954656005,0.009648658335208893
PD+FF,1078,0.0,0.0,-0.6580581068992615,-0.6858707666397095,0.23459486663341522,True,0.261771559715271,0.0314437635242939,0.00011515850201249123,5.3772448154632e-05,0.7775,4.45,4.45,0.0,0.0,5.4144825298863e-06,0.0011281282640993595,0.008513720706105232
PD+FF,1079,0.0,0.0,-0.5874135494232178,0.8651593327522278,0.4896434247493744,True,0.314788818359375,0.039261702448129654,0.0001343217008979991,6.362538260873407e-05,0.7525,4.95,4.95,0.0,0.0,7.494308192690369e-06,0.0013566960114985704,0.009227906353771687
PD+FF,1080,0.0,0.0,-0.6397119164466858,0.7102972865104675,0.367546945810318,True,0.27899789810180664,0.03422284126281738,0.00012424630403984338,5.8178178733214736e-05,0.7675,4.65,4.65,0.0,0.0,5.8750952121044975e-06,0.001193505129776895,0.008645283058285713
PD+FF,1081,0.0,0.0,-1.3320256471633911,0.8601993322372437,0.3006768822669983,True,0.4704139530658722,0.05877021327614784,0.00021218891197349876,9.953153494279832e-05,0.71,5.800000000000001,5.800000000000001,0.0,0.0,1.44744271892705e-05,0.0019134527537971735,0.013501483015716076
