method,alpha,seed,initial_uav_x,initial_uav_y,ugv_vx,success,rmse,steady_rmse,max_tracking_error,final_error,final_relative_speed,stable_ratio,capture_time,forward_overshoot,ahead_ratio,command_smoothness,mean_abs_velocity_error,total_reward,held_out
Nominal Residual PPO,0.0,1078,-0.6580581068992615,-0.6858707666397095,0.23459486663341522,True,0.23145256818143542,0.010550663121833871,0.9584092497825623,0.0012264832621440291,9.470153599977493e-06,0.845,3.1,0.0010662078857421875,0.4,4.526311173066411e-05,0.0,296.5255630784778,False
Nominal Residual PPO,0.0,1079,-0.5874135494232178,0.8651593327522278,0.4896434247493744,True,0.28283951879752917,0.014003831543328385,1.076871633529663,0.01028369553387165,2.725627382460516e-06,0.83,3.4000000000000004,0.010272979736328125,0.61,3.1174247568128626e-05,0.0,279.16622849161814,False
Nominal Residual PPO,0.0,1080,-0.6397119164466858,0.7102972865104675,0.367546945810318,True,0.24638023380063617,0.010183931893659081,0.9783483743667603,0.005969057325273752,6.328351446427405e-06,0.85,3.0,0.005969047546386719,0.585,3.0383576828883826e-05,0.0,295.72843267253137,False
Nominal Residual PPO,0.0,1081,-1.3320256471633911,0.8601993322372437,0.3006768822669983,True,0.43536777907451796,0.015148978886971292,1.6089626550674438,0.003529487643390894,1.018291095533641e-05,0.805,3.9000000000000004,0.0035161972045898438,0.4825,3.811847610986586e-05,0.0,244.12963818702926,False
Nominal Residual PPO,0.0,1082,-0.9581221342086792,-0.30673766136169434,0.3117980659008026,True,0.2785293839427279,0.011386706070132719,1.0490784645080566,0.003936902619898319,8.711430382390972e-06,0.835,3.3000000000000003,0.003928661346435547,0.5025,3.5648655503220377e-05,0.0,284.21273095709546,False
Nominal Residual PPO,0.0,1083,-1.3940625190734863,0.6289385557174683,0.21643398702144623,True,0.4100757296212966,0.012609317356937452,1.543319821357727,0.000793584855273366,1.0664884030120447e-05,0.805,3.9000000000000004,0.0003886222839355469,0.295,3.9200649923262924e-05,0.0,249.9665178433002,False
Nominal Residual PPO,0.0,1084,-0.7371216416358948,-0.8951173424720764,0.4071005880832672,True,0.3095086411696729,0.01549598114949029,1.1846938133239746,0.007363000884652138,1.9573710233089514e-05,0.8175,3.6500000000000004,0.007361412048339844,0.5425,4.517087680510526e-05,0.0,269.5004549043191,False
Nominal Residual PPO,0.0,1085,-0.7224554419517517,-0.08529454469680786,0.4138740301132202,True,0.22112040504356356,0.010674087333313716,0.8224303722381592,0.007619136944413185,1.2533023436844815e-05,0.8525,2.95,0.007616996765136719,0.57,3.308123923076411e-05,0.0,300.34682537814047,False
Nominal Residual PPO,0.0,1086,-0.7490203976631165,-0.7008727788925171,0.4387705326080322,True,0.28672479468240464,0.014609170942935875,1.0677448511123657,0.008498967625200748,1.2496888302848674e-05,0.825,3.5,0.008494377136230469,0.5575,4.1397878912850245e-05,0.0,276.3758483497981,False
Nominal Residual PPO,0.0,1087,-1.2718281745910645,-0.8616007566452026,0.3274095356464386,True,0.42493704430554297,0.018652247674637173,1.5632307529449463,0.004493757151067257,1.5187599274213426e-05,0.8025,3.95,0.004489898681640625,0.4775,4.246378542188567e-05,0.0,243.3451223678544,False
Nominal Residual PPO,0.0,1088,-1.148199200630188,-0.9221230149269104,0.4605681300163269,True,0.43281158815292475,0.021765235430448764,1.5241628885269165,0.009238620288670063,2.279863110743463e-05,0.7925,4.15,0.0092315673828125,0.525,3.818985577626299e-05,0.0,235.44550146261275,False
Nominal Residual PPO,0.0,1089,-1.8535881042480469,0.5890284776687622,0.37915652990341187,True,0.6145689079131534,0.026189427839675785,2.0068397521972656,0.0063577559776604176,2.2602975150221027e-05,0.76,4.800000000000001,0.006357669830322266,0.47,3.324971844169496e-05,0.0,187.1213236672172,False
Nominal Residual PPO,0.0,1090,-0.9845758080482483,-0.6573527455329895,0.30003631114959717,True,0.31506368838905574,0.01355310322599208,1.2067850828170776,0.0035006410907953978,1.2649662494368386e-05,0.83,3.4000000000000004,0.003487110137939453,0.4825,3.838658869140726e-05,0.0,275.23971463916416,False
Nominal Residual PPO,0.0,1091,-1.8845704793930054,-0.6914018392562866,0.36124923825263977,True,0.6221154834026604,0.028546929104281443,2.057251453399658,0.005690254736691713,3.2085401471704245e-05,0.76,4.800000000000001,0.005690097808837891,0.4525,3.796698779398286e-05,0.0,185.59516112520785,False
Nominal Residual PPO,0.0,1092,-1.9696727991104126,-0.2278679758310318,0.31251582503318787,True,0.611755430678597,0.02473466354453025,2.033517599105835,0.003925046883523464,2.8546592147904448e-05,0.76,4.800000000000001,0.003916740417480469,0.43,3.6343297629925216e-05,0.0,189.18321742105775,False
