seed,initial_uav_x,initial_uav_y,ugv_vx,episode_length,success,total_reward,rmse,steady_rmse,max_tracking_error,final_error,final_relative_speed,stable_ratio,capture_time,command_smoothness,mean_command_change,max_command_change,saturation_ratio,mean_residual,rms_residual,max_residual,residual_smoothness
1030,-1.6447029113769531,-0.9496257901191711,0.4438457489013672,400,True,189.93411208663127,0.5955281257629395,0.031078556552529335,1.9598075151443481,0.008641497232019901,3.102056143688969e-05,0.7625,4.75,3.807864777627401e-05,0.0025685231667011976,0.05486126244068146,0.1125,0.039261624217033386,0.07383266091346741,0.16431967914104462,2.0618590497178957e-05
1031,-0.9611496329307556,0.9009804725646973,0.39864641427993774,400,True,263.5714123039674,0.36069607734680176,0.014625695534050465,1.349510669708252,0.0070791481994092464,1.0611074685584754e-05,0.8225,3.549999952316284,3.718184962053783e-05,0.002242713002488017,0.05111182481050491,0.03,0.02947942726314068,0.06425776332616806,0.16968649625778198,2.1757072317996062e-05
1032,-0.6833899617195129,-0.5306191444396973,0.49894750118255615,400,True,283.3675646528552,0.2602449357509613,0.014496737159788609,0.9415234923362732,0.010577704757452011,1.2755440366163384e-05,0.8325,3.3499999046325684,3.37668061547447e-05,0.0019697309471666813,0.05468523129820824,0.0325,0.02661685273051262,0.05628572404384613,0.15590673685073853,2.1900399588048458e-05
1033,-0.7577928304672241,0.7459949851036072,0.4761985242366791,400,True,277.1402848393554,0.3014245629310608,0.014047013595700264,1.111611008644104,0.009787026792764664,1.764213084243238e-05,0.8325,3.3499999046325684,3.062750329263508e-05,0.0019202418625354767,0.05158557370305061,0.0275,0.027420416474342346,0.05952083319425583,0.1674584150314331,1.8311522580916062e-05
1034,-0.5296080112457275,-0.6777904629707336,0.22327283024787903,400,True,304.0723398128063,0.20482997596263885,0.009737574495375156,0.8656488060951233,0.0009202964720316231,1.0575606211205013e-05,0.8525,2.950000047683716,4.088414425496012e-05,0.0020200470462441444,0.05516786500811577,0.0,0.020055146887898445,0.0503089465200901,0.16266384720802307,3.0074797905399464e-05
1035,-1.5201642513275146,-0.23973245918750763,0.436818927526474,400,True,215.63828291877954,0.5005165338516235,0.024039169773459435,1.6411229372024536,0.008398514240980148,2.8070231564925052e-05,0.7775,4.449999809265137,3.129054312012158e-05,0.0019297287799417973,0.054543595761060715,0.1,0.03576095774769783,0.0692182332277298,0.1544475555419922,1.9758257622015662e-05
1036,-1.558912754058838,0.6018440127372742,0.34900519251823425,400,True,222.8572546139213,0.49636030197143555,0.018744464963674545,1.7183763980865479,0.005269885063171387,2.006366958084982e-05,0.785,4.300000190734863,3.439545616856776e-05,0.0021418447140604258,0.05180274695158005,0.0725,0.03395640477538109,0.0692831352353096,0.15704947710037231,1.9086934116785415e-05
1037,-1.5164998769760132,-0.3818822205066681,0.38270920515060425,400,True,224.30279398381023,0.4807579517364502,0.021110840141773224,1.6335798501968384,0.006482794415205717,2.308582406840287e-05,0.785,4.300000190734863,3.4506556403357536e-05,0.0021452864166349173,0.05553215369582176,0.08,0.03435089439153671,0.06835642457008362,0.15587711334228516,2.041014886344783e-05
1038,-1.5098652839660645,-0.8029577136039734,0.31811848282814026,400,True,226.6839415655979,0.4864528477191925,0.02071700245141983,1.7404906749725342,0.004146654158830643,1.9305562091176398e-05,0.79,4.199999809265137,4.174105197307654e-05,0.0025852497201412916,0.05634520575404167,0.06,0.0341012068092823,0.06933419406414032,0.16344554722309113,2.1593634301098064e-05
1039,-0.6960156559944153,-0.0387578122317791,0.3661683201789856,400,True,307.5968201233497,0.20191071927547455,0.009069062769412994,0.7714503407478333,0.005900407675653696,1.5028687812446151e-05,0.86,2.799999952316284,3.283248224761337e-05,0.0017022843239828944,0.05457356944680214,0.0,0.02282344363629818,0.0538979098200798,0.15229035913944244,2.3487138605560176e-05
1040,-0.7547146081924438,0.5635512471199036,0.4134989380836487,400,True,290.15992505833293,0.2632780075073242,0.011347396299242973,0.990514874458313,0.007605741731822491,1.2641932698898017e-05,0.845,3.0999999046325684,3.1894462154014036e-05,0.0018828596221283078,0.0505857914686203,0.0,0.025590762495994568,0.05814126133918762,0.16346147656440735,1.9791859813267365e-05
1041,-0.6478168964385986,-0.19675222039222717,0.46515655517578125,400,True,301.5357090355993,0.21441344916820526,0.011732560582458973,0.7885604500770569,0.009408990852534771,1.696733852440957e-05,0.855,2.9000000953674316,3.134053622488864e-05,0.00176392518915236,0.05626041814684868,0.0,0.024383017793297768,0.05387159809470177,0.1516263782978058,2.107714317389764e-05
1042,-1.463887333869934,-0.25558269023895264,0.3728010952472687,400,True,232.99787833732668,0.4538705050945282,0.01926535926759243,1.5576238632202148,0.00613022455945611,2.076398959616199e-05,0.7925,4.150000095367432,3.403717710170895e-05,0.0020664376206696033,0.05474351346492767,0.0725,0.03327512741088867,0.0672006756067276,0.15464147925376892,2.0311543266871013e-05
1043,-1.7490100860595703,-0.7958716750144958,0.31946444511413574,400,True,204.0790812916677,0.5642242431640625,0.02418181486427784,1.9551773071289062,0.004192560911178589,2.1603709683404304e-05,0.7725,4.550000190734863,4.1297098505310714e-05,0.002629309892654419,0.05651281028985977,0.0775,0.03652767464518547,0.07205436378717422,0.1623028963804245,2.1322355678421445e-05
1044,-1.981444239616394,0.7169352173805237,0.20961801707744598,400,True,198.1501490596846,0.5992311835289001,0.018117617815732956,2.121452808380127,0.0007362143369391561,1.5542596884188242e-05,0.7675,4.650000095367432,4.175200228928588e-05,0.0025637918151915073,0.05522153526544571,0.065,0.03565441444516182,0.07297752797603607,0.15710023045539856,2.0136487364652567e-05
1045,-0.7272861003875732,-0.39523494243621826,0.4158290922641754,400,True,294.3983458600705,0.24043115973472595,0.011921352706849575,0.8941770792007446,0.00768606411293149,1.370856352878036e-05,0.8475,3.049999952316284,3.649918653536588e-05,0.0019570868462324142,0.05597039312124252,0.0,0.02515135519206524,0.05571942403912544,0.15424712002277374,2.433722147543449e-05
1046,-1.868130087852478,0.6265861392021179,0.39649125933647156,400,True,180.88837790351874,0.631199836730957,0.02813066728413105,2.037029266357422,0.006969756912440062,2.7617479645414278e-05,0.755,4.900000095367432,3.281731915194541e-05,0.002126633422449231,0.05283579230308533,0.1125,0.038766782730817795,0.07356932014226913,0.15546947717666626,1.896093090181239e-05
1047,-1.1699552536010742,-0.14992530643939972,0.29876548051834106,400,True,268.4623702919447,0.3337308168411255,0.012694326229393482,1.2259840965270996,0.0034499196335673332,1.4883230505802203e-05,0.82,3.5999999046325684,3.581165583455004e-05,0.0021226240787655115,0.05663987994194031,0.0175,0.028390321880578995,0.06235072761774063,0.1536852866411209,2.0944637071806937e-05
1048,-0.9076822996139526,-0.7630760073661804,0.4824531674385071,400,True,258.42966622110947,0.3474729061126709,0.0179937444627285,1.2431679964065552,0.010012884624302387,1.3787170246359892e-05,0.81,3.799999952316284,3.533685230650008e-05,0.0021839668042957783,0.056852154433727264,0.06,0.030308451503515244,0.062094394117593765,0.16188904643058777,2.782210685836617e-05
1049,-1.6127384901046753,0.09402617067098618,0.43331217765808105,400,True,206.28255975975802,0.5319633483886719,0.025200750678777695,1.7216302156448364,0.008279870264232159,2.606411544547882e-05,0.77,4.599999904632568,3.021694465132896e-05,0.0017084799474105239,0.054495058953762054,0.1075,0.036611028015613556,0.07030697166919708,0.1529919058084488,1.929331847350113e-05
1050,-1.2507070302963257,-0.40418457984924316,0.49881017208099365,400,True,233.27467195761022,0.435098797082901,0.022915424779057503,1.4333502054214478,0.010547056794166565,2.5346645998070017e-05,0.7925,4.150000095367432,3.057906360481866e-05,0.001916469307616353,0.05565796419978142,0.1,0.03444097563624382,0.06687281280755997,0.15424670279026031,2.041179504885804e-05
1051,-0.8433747291564941,-0.6024307608604431,0.2584548592567444,400,True,289.8834395844236,0.26431789994239807,0.011323736049234867,1.0516074895858765,0.0020110695622861385,1.1554316188266966e-05,0.8425,3.1500000953674316,3.8478916394524276e-05,0.002121545607224107,0.05782900005578995,0.0,0.024858782067894936,0.057870589196681976,0.15962326526641846,2.4949969883891754e-05
1052,-1.577463150024414,-0.03658809885382652,0.32490968704223633,400,True,228.4833905197184,0.47278934717178345,0.018222589045763016,1.6356801986694336,0.004399011377245188,1.7068179658963345e-05,0.7875,4.25,3.500355524010956e-05,0.0020509231835603714,0.05524266138672829,0.0675,0.03325555473566055,0.06791017204523087,0.1528475135564804,2.026961010415107e-05
1053,-0.7320424914360046,-0.38764455914497375,0.44851720333099365,400,True,291.4608720369109,0.24837136268615723,0.012827897444367409,0.9092598557472229,0.00884433463215828,1.0709512025641743e-05,0.845,3.0999999046325684,3.602297874749638e-05,0.001971150515601039,0.05578303709626198,0.0,0.025862781330943108,0.05620003491640091,0.15414626896381378,2.3490483727073297e-05
1054,-1.9604523181915283,0.6108824014663696,0.3443475067615509,400,True,181.11391696265878,0.6391269564628601,0.025665367022156715,2.1031830310821533,0.005099654197692871,2.1521114831557497e-05,0.755,4.900000095367432,3.484204353298992e-05,0.0022281112615019083,0.054321855306625366,0.1025,0.03818569704890251,0.07361838966608047,0.15546046197414398,1.936338776431512e-05
1055,-0.8035520911216736,-0.8197364807128906,0.37500709295272827,400,True,272.62878947101234,0.3062325417995453,0.0146825285628438,1.1733254194259644,0.006228003650903702,1.1947429811698385e-05,0.8225,3.549999952316284,4.855276711168699e-05,0.0023839951027184725,0.0686565712094307,0.0,0.027267079800367355,0.05952620878815651,0.16509635746479034,3.148993710055947e-05
1056,-0.6173267960548401,-0.7547652125358582,0.33817118406295776,400,True,288.43504476795994,0.24839964509010315,0.011969815008342266,0.9910121560096741,0.004886659327894449,1.3843806300428696e-05,0.835,3.299999952316284,4.1557195800123736e-05,0.0021719196811318398,0.05485446751117706,0.0,0.023658132180571556,0.05445555970072746,0.16383902728557587,2.777110603346955e-05
1057,-1.4013786315917969,-0.020997419953346252,0.2980625629425049,400,True,248.06685990886766,0.40564143657684326,0.01490121427923441,1.4497898817062378,0.003426517592743039,1.451965727028437e-05,0.8025,3.950000047683716,3.6218527384335175e-05,0.00209822878241539,0.0564812608063221,0.0475,0.03086874634027481,0.06551291793584824,0.1526922583580017,2.0547211533994414e-05
1058,-1.9344123601913452,-0.6835842132568359,0.34246277809143066,400,True,183.26370178394848,0.6312327980995178,0.028171991929411888,2.0965728759765625,0.0050116428174078465,3.0444767617154866e-05,0.7575,4.849999904632568,3.878829738823697e-05,0.0025391168892383575,0.05684269219636917,0.1,0.038732755929231644,0.07398568093776703,0.15901105105876923,2.0911911633447744e-05
1059,-1.3239208459854126,-0.34795770049095154,0.3298633396625519,400,True,249.80505215838778,0.39726656675338745,0.016073452308773994,1.4192335605621338,0.0045724413357675076,2.0310902982600965e-05,0.805,3.9000000953674316,3.670670776045881e-05,0.0021998900920152664,0.054955821484327316,0.05,0.031011642888188362,0.06505568325519562,0.155857115983963,2.0898558432236314e-05
1060,-0.5232435464859009,-0.8263487219810486,0.4775193929672241,400,True,279.9767464171008,0.26284900307655334,0.01466824859380722,1.0047281980514526,0.009829203598201275,2.043063796008937e-05,0.825,3.5,3.732413097168319e-05,0.0021799649111926556,0.052358414977788925,0.0,0.025017499923706055,0.053680043667554855,0.1649969518184662,2.25493531615939e-05
1061,-1.0766786336898804,0.09924349933862686,0.28927016258239746,400,True,277.92627567313133,0.3013931214809418,0.010866858996450901,1.1258193254470825,0.0031151194125413895,9.97618099063402e-06,0.8275,3.450000047683716,3.347654273966327e-05,0.0019645956344902515,0.055966950953006744,0.0,0.026866501197218895,0.061060260981321335,0.1534855216741562,2.0495226635830477e-05
1062,-1.020176649093628,-0.6513675451278687,0.4292861223220825,400,True,260.37348492757474,0.3527791202068329,0.016931327059864998,1.2664623260498047,0.00814889743924141,2.018787563429214e-05,0.815,3.700000047683716,3.599182309699245e-05,0.00219410820864141,0.05415168032050133,0.0525,0.03016711212694645,0.06262002140283585,0.15953227877616882,2.48958731390303e-05
1063,-0.5567145943641663,0.6067063212394714,0.2895512878894806,400,True,312.8787578922906,0.2001395970582962,0.007652668748050928,0.8364686965942383,0.003128601238131523,7.544506388512673e-06,0.87,2.5999999046325684,2.833274265867658e-05,0.0016585856210440397,0.049730684608221054,0.0,0.02007945626974106,0.05205237865447998,0.16983652114868164,1.9757648260565475e-05
1064,-1.6129041910171509,-0.13716638088226318,0.24278511106967926,400,True,233.23643526106466,0.4604463279247284,0.016068242490291595,1.6486083269119263,0.0014716737205162644,1.713128949631937e-05,0.79,4.199999809265137,3.937203291570768e-05,0.0023101053666323423,0.055054496973752975,0.0475,0.03231801092624664,0.06778252869844437,0.15373988449573517,2.100119127135258e-05
1065,-0.5033138990402222,-0.5932050347328186,0.453745573759079,400,True,297.2607645409345,0.21397964656352997,0.012054307386279106,0.8157080411911011,0.009028063155710697,1.0082629160024226e-05,0.845,3.0999999046325684,3.362805728102103e-05,0.0019155337940901518,0.056316182017326355,0.0,0.023026688024401665,0.05110972002148628,0.15816611051559448,2.223942465207074e-05
1066,-1.3762075901031494,0.32575497031211853,0.20805609226226807,400,True,255.95219584745618,0.38269710540771484,0.011865431442856789,1.4330849647521973,0.000734869041480124,1.1166843250975944e-05,0.8075,3.8499999046325684,3.8107777072582394e-05,0.0022899594623595476,0.05479497089982033,0.0,0.029329927638173103,0.06556837260723114,0.15523801743984222,2.046236659225542e-05
1067,-0.6176835894584656,0.9055254459381104,0.20151829719543457,400,True,290.51496525529353,0.25913769006729126,0.010138627141714096,1.0992552042007446,0.0007733528036624193,1.1462875590950716e-06,0.84,3.200000047683716,3.2689484214643016e-05,0.0019912796560674906,0.04732120409607887,0.0,0.02175736427307129,0.055977512151002884,0.17966602742671967,2.07763569051167e-05
1068,-0.7787961959838867,0.5352519750595093,0.25048118829727173,400,True,301.52998027733287,0.23579704761505127,0.008046532981097698,0.9600626230239868,0.0017451985040679574,7.235290468088351e-06,0.855,2.9000000953674316,3.756290607270785e-05,0.0018646173411980271,0.05689382180571556,0.0,0.02292851358652115,0.05780898779630661,0.16445298492908478,2.6923991754301824e-05
1069,-0.5076419115066528,0.8446078896522522,0.24751581251621246,400,True,296.686411649147,0.233356773853302,0.009373721666634083,0.9901279211044312,0.0016481367638334632,4.902690307062585e-06,0.845,3.0999999046325684,2.91042906610528e-05,0.0018140068277716637,0.04623532295227051,0.0,0.019531071186065674,0.050576455891132355,0.17875026166439056,1.9845050701405853e-05
1070,-1.6644020080566406,0.9533751606941223,0.22921264171600342,400,True,219.79367022787642,0.5262418985366821,0.016609590500593185,1.9316902160644531,0.001065391581505537,1.434242949471809e-05,0.785,4.300000190734863,4.268900374881923e-05,0.002622287953272462,0.05445069819688797,0.05,0.03383836895227432,0.071708545088768,0.1629713773727417,1.9315260942676105e-05
1071,-1.6379417181015015,0.7469041347503662,0.26974478363990784,400,True,222.41797325047972,0.5082069039344788,0.016755225136876106,1.8231765031814575,0.0024014052469283342,1.6636220607324503e-05,0.785,4.300000190734863,3.896854832419194e-05,0.0024017952382564545,0.05516229197382927,0.0575,0.03354168310761452,0.07030723243951797,0.1592215895652771,1.949032593984157e-05
1072,-1.22187077999115,0.3675197660923004,0.4661308228969574,400,True,243.0454833035499,0.4093969762325287,0.018889451399445534,1.3832852840423584,0.009428090415894985,2.451166983519215e-05,0.8,4.0,2.908472015406005e-05,0.0017163208685815334,0.05442333593964577,0.0825,0.03256350755691528,0.06559663265943527,0.1551155149936676,2.1082787498016842e-05
1073,-1.5133368968963623,0.8512749075889587,0.3800120949745178,400,True,219.01726307080023,0.5137246251106262,0.02030070498585701,1.7803895473480225,0.006397361401468515,1.7574249795870855e-05,0.785,4.300000190734863,3.4934513678308576e-05,0.002264054724946618,0.05418814718723297,0.0775,0.03480525314807892,0.07032368332147598,0.16073743999004364,1.845876067818608e-05
1074,-0.5001789927482605,-0.2884053587913513,0.4962819218635559,400,True,309.2044301296687,0.18452243506908417,0.011624987237155437,0.6843822598457336,0.01050298847258091,5.358542694011703e-06,0.8625,2.75,2.989883068948984e-05,0.0016782879829406738,0.054845720529556274,0.0,0.022692766040563583,0.050244223326444626,0.152320995926857,2.0878338546026498e-05
1075,-0.8189709782600403,0.9466501474380493,0.23914383351802826,400,True,280.08683935292413,0.30818530917167664,0.011324567720293999,1.2590471506118774,0.001376754604279995,4.068169346282957e-06,0.835,3.299999952316284,3.9092174120014533e-05,0.0022361644078046083,0.04984830319881439,0.0,0.025516699999570847,0.06194882467389107,0.17653393745422363,2.3390968635794707e-05
1076,-1.445397138595581,-0.562984049320221,0.45283621549606323,400,True,218.4600182368013,0.4946329891681671,0.02471805550158024,1.6364034414291382,0.008953460492193699,3.052285319427028e-05,0.7825,4.349999904632568,3.34107389790006e-05,0.0021592318080365658,0.05530257523059845,0.1,0.035890545696020126,0.06935734301805496,0.15804821252822876,2.023056549660396e-05
1077,-0.6151338219642639,-0.8893533945083618,0.2694230377674103,400,True,282.67122404353415,0.2660285532474518,0.012759940698742867,1.088533878326416,0.0023983505088835955,1.127683117374545e-05,0.8275,3.450000047683716,4.4798282033298165e-05,0.002282185247167945,0.061846207827329636,0.0,0.02327004261314869,0.05479360744357109,0.16859258711338043,2.996779585373588e-05
1078,-0.6580581068992615,-0.6858707666397095,0.23459486663341522,400,True,296.5255630784778,0.2314525544643402,0.010550661943852901,0.9584092497825623,0.0012264832621440291,9.470153599977493e-06,0.845,3.0999999046325684,4.526311386143789e-05,0.002122973557561636,0.0681757777929306,0.0,0.022317757830023766,0.054164644330739975,0.16427548229694366,3.294676207588054e-05
1079,-0.5874135494232178,0.8651593327522278,0.4896434247493744,400,True,279.16622849161814,0.2828395366668701,0.014003831893205643,1.076871633529663,0.01028369553387165,2.725627382460516e-06,0.83,3.4000000953674316,3.117424785159528e-05,0.0019661320839077234,0.048200059682130814,0.0,0.025241324678063393,0.05520479008555412,0.17335303127765656,1.8635773813002743e-05
1080,-0.6397119164466858,0.7102972865104675,0.367546945810318,400,True,295.72843267253137,0.24638023972511292,0.01018393225967884,0.9783483743667603,0.005969057325273752,6.328351446427405e-06,0.85,3.0,3.0383576813619584e-05,0.0018432583892717957,0.05107704922556877,0.0,0.02339671552181244,0.05564149096608162,0.17044514417648315,1.923949457705021e-05
