phase,family,condition,severity,severity_unit,method,success_rate,full_rmse_mean,primary_error_name,primary_error_mean,stable_ratio_mean,capture_time_mean,settling_or_recovery_time_mean,forward_overshoot_mean,command_smoothness_mean,max_command_change_mean,held_out,source_file,notes
5.4,vision_loss,temporary_vision_loss,0.0,s,Residual PPO,1.0,0.4043452926482432,steady_rmse,0.0172676669284068,0.8057999999999998,3.884,0.8985000000000001,0.0053199243545532,3.60298520536162e-05,0.0549444590136408,False,temporary_vision_loss_summary.csv,Last-valid target hold with constant-velocity target; dropout begins at t=3 s during pursuit transient.
5.4,vision_loss,temporary_vision_loss,0.2,s,PD+FF,1.0,0.4328721047881025,steady_rmse,0.0554277996976137,0.7221750000000001,5.556500000000001,2.3565,0.0,1.1898767647835484e-05,0.0266550504416227,False,temporary_vision_loss_summary.csv,Last-valid target hold with constant-velocity target; dropout begins at t=3 s during pursuit transient.
5.4,vision_loss,temporary_vision_loss,0.2,s,Direct PPO,1.0,0.3844900298545076,steady_rmse,0.0064644181657361,0.8400250000000001,3.21,0.311,0.0113952302932739,0.0025504547433229,0.4852901944518089,False,temporary_vision_loss_summary.csv,Last-valid target hold with constant-velocity target; dropout begins at t=3 s during pursuit transient.
5.4,vision_loss,temporary_vision_loss,0.2,s,Residual PPO,1.0,0.404261059551517,steady_rmse,0.0170423694311812,0.8061999999999999,3.876000000000001,0.7210000000000001,0.0053202724456787,3.898471768479794e-05,0.0558776753768324,False,temporary_vision_loss_summary.csv,Last-valid target hold with constant-velocity target; dropout begins at t=3 s during pursuit transient.
5.4,vision_loss,temporary_vision_loss,0.5,s,PD+FF,1.0,0.4322698976267347,steady_rmse,0.0536909236226497,0.72555,5.489,1.9890000000000003,0.0,1.88410293594643e-05,0.0575347907654941,False,temporary_vision_loss_summary.csv,Last-valid target hold with constant-velocity target; dropout begins at t=3 s during pursuit transient.
5.4,vision_loss,temporary_vision_loss,0.5,s,Direct PPO,1.0,0.3846972973342953,steady_rmse,0.0074939015476562,0.8327,3.3595000000000006,0.3235,0.0339512836933136,0.0038325664045987,0.6847082658112049,False,temporary_vision_loss_summary.csv,Last-valid target hold with constant-velocity target; dropout begins at t=3 s during pursuit transient.
5.4,vision_loss,temporary_vision_loss,0.5,s,Residual PPO,1.0,0.403988944107174,steady_rmse,0.0159029692299273,0.8058999999999998,3.882000000000001,0.4905000000000001,0.0053223705291748,5.233068246525363e-05,0.0811235541850328,False,temporary_vision_loss_summary.csv,Last-valid target hold with constant-velocity target; dropout begins at t=3 s during pursuit transient.
5.4,vision_loss,temporary_vision_loss,0.8,s,PD+FF,1.0,0.4313806822851245,steady_rmse,0.0501905452286192,0.732525,5.349499999999999,1.5495,0.0,3.0845307637719085e-05,0.0877266163751483,False,temporary_vision_loss_summary.csv,Last-valid target hold with constant-velocity target; dropout begins at t=3 s during pursuit transient.
5.4,vision_loss,temporary_vision_loss,0.8,s,Direct PPO,1.0,0.3856415112348311,steady_rmse,0.0121674819901792,0.8188,3.65,0.4820000000000004,0.0832872760295868,0.0052447310765273,0.8836079114675521,False,temporary_vision_loss_summary.csv,Last-valid target hold with constant-velocity target; dropout begins at t=3 s during pursuit transient.
5.4,vision_loss,temporary_vision_loss,0.8,s,Residual PPO,1.0,0.4036655348509479,steady_rmse,0.0134351124707217,0.8040749999999999,3.9185,0.2980000000000004,0.0059402912855148,8.25292961235391e-05,0.1224331164732575,False,temporary_vision_loss_summary.csv,Last-valid target hold with constant-velocity target; dropout begins at t=3 s during pursuit transient.
5.4,vision_loss,temporary_vision_loss,1.0,s,PD+FF,1.0,0.4307070331281173,steady_rmse,0.0466614361488871,0.7395250000000001,5.2095,1.2095000000000002,0.0,4.164231140748598e-05,0.1077290018647909,False,temporary_vision_loss_summary.csv,Last-valid target hold with constant-velocity target; dropout begins at t=3 s during pursuit transient.
5.4,vision_loss,temporary_vision_loss,1.0,s,Direct PPO,1.0,0.3869938512627138,steady_rmse,0.0198479436574584,0.8077249999999999,3.8745,0.6235000000000002,0.1258684027194976,0.0060328678623773,0.9978941412270068,False,temporary_vision_loss_summary.csv,Last-valid target hold with constant-velocity target; dropout begins at t=3 s during pursuit transient.
5.4,vision_loss,temporary_vision_loss,1.0,s,Residual PPO,1.0,0.4034932931630733,steady_rmse,0.0113228841072892,0.8008249999999998,3.9835,0.211,0.0088933813571929,0.0001213820798147,0.1602863151952624,False,temporary_vision_loss_summary.csv,Last-valid target hold with constant-velocity target; dropout begins at t=3 s during pursuit transient.
5.5,target_motion,nominal,,scenario,PD+FF,1.0,0.4330287556375031,post_maneuver_rmse,0.0371650441968474,0.9887544483985764,,0.1400000000000001,0.0,1.023695691856119e-05,0.0117104809777811,False,unseen_trajectory_summary.csv,"For persistent maneuvers, post-maneuver RMSE/P95/stable ratio are more informative than reacquisition time."
5.5,target_motion,nominal,,scenario,Direct PPO,1.0,0.3845086758555819,post_maneuver_rmse,0.0057685100210764,1.0,,0.0,0.0055607914924621,0.0023249562643468,0.4500536586344242,False,unseen_trajectory_summary.csv,"For persistent maneuvers, post-maneuver RMSE/P95/stable ratio are more informative than reacquisition time."
5.5,target_motion,nominal,,scenario,Residual PPO,1.0,0.4043452926482432,post_maneuver_rmse,0.0107064003833523,1.0,,0.0,0.0053199243545532,3.60298520536162e-05,0.0549444590136408,False,unseen_trajectory_summary.csv,"For persistent maneuvers, post-maneuver RMSE/P95/stable ratio are more informative than reacquisition time."
5.5,target_motion,speed_step,,scenario,PD+FF,1.0,0.4338558942669117,post_maneuver_rmse,0.0489331839581491,0.966405693950178,,0.4240000000000005,0.0,0.0001303135759371,0.2188329109549522,False,unseen_trajectory_summary.csv,"For persistent maneuvers, post-maneuver RMSE/P95/stable ratio are more informative than reacquisition time."
5.5,target_motion,speed_step,,scenario,Direct PPO,1.0,0.3845896462728392,post_maneuver_rmse,0.0108737051307627,0.9893950177935944,,0.0990000000000005,0.0101380062103271,0.0036081686103716,0.647768871486187,False,unseen_trajectory_summary.csv,"For persistent maneuvers, post-maneuver RMSE/P95/stable ratio are more informative than reacquisition time."
5.5,target_motion,speed_step,,scenario,Residual PPO,1.0,0.4045475204110452,post_maneuver_rmse,0.0183178509257478,0.9909964412811392,,0.0765000000000006,0.0121797084808349,0.0002346427414158,0.2801169508695602,False,unseen_trajectory_summary.csv,"For persistent maneuvers, post-maneuver RMSE/P95/stable ratio are more informative than reacquisition time."
5.5,target_motion,lateral_sine,,scenario,PD+FF,1.0,0.4348614913659794,post_maneuver_rmse,0.0592322834929558,0.968576512455516,,0.3915000000000003,0.0018040109136822,0.0003730942195397,0.3455532050132751,False,unseen_trajectory_summary.csv,"For persistent maneuvers, post-maneuver RMSE/P95/stable ratio are more informative than reacquisition time."
5.5,target_motion,lateral_sine,,scenario,Direct PPO,1.0,0.3954846194192298,post_maneuver_rmse,0.1030901370919353,0.5979359430604982,,0.4500000000000003,0.0513131408896259,0.0041451388131827,0.7931508380174637,False,unseen_trajectory_summary.csv,"For persistent maneuvers, post-maneuver RMSE/P95/stable ratio are more informative than reacquisition time."
5.5,target_motion,lateral_sine,,scenario,Residual PPO,1.0,0.4060403845322784,post_maneuver_rmse,0.0430585195947395,0.9788612099644132,,0.247,0.010521556062399,0.0004128609382314,0.3512678679823875,False,unseen_trajectory_summary.csv,"For persistent maneuvers, post-maneuver RMSE/P95/stable ratio are more informative than reacquisition time."
5.5,target_motion,constant_turn,,scenario,PD+FF,1.0,0.4341724354702554,post_maneuver_rmse,0.0512923123884439,0.9888256227758008,,0.1390000000000001,0.0,2.604839552077465e-05,0.0117104809777811,False,unseen_trajectory_summary.csv,"For persistent maneuvers, post-maneuver RMSE/P95/stable ratio are more informative than reacquisition time."
5.5,target_motion,constant_turn,,scenario,Direct PPO,0.53,0.4085660146130913,post_maneuver_rmse,0.1509073448187514,0.5845551601423488,,0.0,0.0587360434971631,0.0023383358545834,0.4500536586344242,False,unseen_trajectory_summary.csv,"For persistent maneuvers, post-maneuver RMSE/P95/stable ratio are more informative than reacquisition time."
5.5,target_motion,constant_turn,,scenario,Residual PPO,1.0,0.4048393586523615,post_maneuver_rmse,0.0243523363505668,1.0,,0.0,0.013838688396038,5.144233993632952e-05,0.0549444590136408,False,unseen_trajectory_summary.csv,"For persistent maneuvers, post-maneuver RMSE/P95/stable ratio are more informative than reacquisition time."
5B-1,robust_training_alpha_sweep,velocity_coupling_alpha,0.0,alpha,Nominal Residual PPO,1.0,0.4043452926482432,steady_rmse,0.0172676669284068,0.8057999999999998,3.884,,0.0053199243545532,3.602985198257507e-05,,False,robust_residual_alpha_sweep_summary.csv,"Robust policy trained from scratch with alpha ~ U(0, 0.75); alpha=1.0 is a held-out severity, not an unseen fault type."
5B-1,robust_training_alpha_sweep,velocity_coupling_alpha,0.0,alpha,Robust Residual PPO,1.0,0.4018442557135092,steady_rmse,0.0087595658702442,0.7931999999999999,4.136,,0.0012850487232208,1.7774418027163547e-05,,False,robust_residual_alpha_sweep_summary.csv,"Robust policy trained from scratch with alpha ~ U(0, 0.75); alpha=1.0 is a held-out severity, not an unseen fault type."
5B-1,robust_training_alpha_sweep,velocity_coupling_alpha,0.25,alpha,Nominal Residual PPO,1.0,0.3922741597980597,steady_rmse,0.0086974494375741,0.8276750000000002,3.446499999999999,,0.005344762802124,6.20769798648534e-05,,False,robust_residual_alpha_sweep_summary.csv,"Robust policy trained from scratch with alpha ~ U(0, 0.75); alpha=1.0 is a held-out severity, not an unseen fault type."
5B-1,robust_training_alpha_sweep,velocity_coupling_alpha,0.25,alpha,Robust Residual PPO,1.0,0.3910072075568474,steady_rmse,0.0043409660739315,0.8149250000000001,3.7015,,0.0012882006168365,3.0097162789417437e-05,,False,robust_residual_alpha_sweep_summary.csv,"Robust policy trained from scratch with alpha ~ U(0, 0.75); alpha=1.0 is a held-out severity, not an unseen fault type."
5B-1,robust_training_alpha_sweep,velocity_coupling_alpha,0.5,alpha,Nominal Residual PPO,1.0,0.3861911674249596,steady_rmse,0.0067350401078292,0.8368999999999999,3.2620000000000005,,0.0053488445281982,9.128531404436704e-05,,False,robust_residual_alpha_sweep_summary.csv,"Robust policy trained from scratch with alpha ~ U(0, 0.75); alpha=1.0 is a held-out severity, not an unseen fault type."
5B-1,robust_training_alpha_sweep,velocity_coupling_alpha,0.5,alpha,Robust Residual PPO,1.0,0.3855868996276567,steady_rmse,0.0030119877505107,0.826825,3.4635,,0.001310167312622,6.940500307210697e-05,,False,robust_residual_alpha_sweep_summary.csv,"Robust policy trained from scratch with alpha ~ U(0, 0.75); alpha=1.0 is a held-out severity, not an unseen fault type."
5B-1,robust_training_alpha_sweep,velocity_coupling_alpha,0.75,alpha,Nominal Residual PPO,1.0,0.3841035362325344,steady_rmse,0.0088524274574419,0.8131999999999999,3.6915,,0.0267925384640693,0.0001328850722547,,False,robust_residual_alpha_sweep_summary.csv,"Robust policy trained from scratch with alpha ~ U(0, 0.75); alpha=1.0 is a held-out severity, not an unseen fault type."
